State,Action,NextState
[ 0.99899566 -0.0448076   0.13025168],[0.87824416],[ 0.99944216 -0.03339727  0.2283826 ]
[ 0.99944216 -0.03339727  0.2283826 ],[-1.1268742],[ 0.99949795 -0.031683    0.03430352]
[ 0.99949795 -0.031683    0.03430352],[1.187171],[ 0.99975234 -0.02225562  0.18861692]
[ 0.99975234 -0.02225562  0.18861692],[-1.1716557],[ 0.99974805 -0.02244673 -0.00382315]
[ 0.99974805 -0.02244673 -0.00382315],[1.1205349],[ 0.99988633 -0.01507694  0.14742203]
[ 0.99988633 -0.01507694  0.14742203],[-1.0486951],[ 0.9998698  -0.01613631 -0.02118993]
[ 0.9998698  -0.01613631 -0.02118993],[0.98893404],[ 0.99994606 -0.01038443  0.11504794]
[ 0.99994606 -0.01038443  0.11504794],[-0.9174712],[ 0.9999292  -0.01190239 -0.03036105]
[ 0.9999292  -0.01190239 -0.03036105],[0.8690715],[ 0.999973   -0.00734896  0.09107288]
[ 0.999973   -0.00734896  0.09107288],[-0.8160356],[ 0.99995774 -0.0091911  -0.03684418]
[ 0.99995774 -0.0091911  -0.03684418],[0.79377913],[ 0.9999853  -0.00542474  0.07532936]
[ 0.9999853  -0.00542474  0.07532936],[-0.7464514],[ 0.99997216 -0.00746004 -0.0407069 ]
[ 0.99997216 -0.00746004 -0.0407069 ],[0.741174],[ 0.9999911  -0.00421639  0.06487417]
[ 0.9999911  -0.00421639  0.06487417],[-0.69544697],[ 0.99997985 -0.00634662 -0.04260517]
[ 0.99997985 -0.00634662 -0.04260517],[0.700722],[ 0.99999404 -0.00345949  0.05774317]
[ 0.99999404 -0.00345949  0.05774317],[-0.65632343],[ 0.9999842  -0.00562447 -0.04329997]
[ 0.9999842  -0.00562447 -0.04329997],[0.6685915],[ 0.9999955  -0.00298597  0.05277041]
[ 0.9999955  -0.00298597  0.05277041],[-0.6256596],[ 0.9999867  -0.00515185 -0.04331801]
[ 0.9999867  -0.00515185 -0.04331801],[0.64279604],[ 0.99999636 -0.00269     0.04923751]
[ 0.99999636 -0.00269     0.04923751],[-0.60139143],[ 0.9999883  -0.00483942 -0.04298871]
[ 0.9999883  -0.00483942 -0.04298871],[0.6220236],[ 0.99999684 -0.00250517  0.04668527]
[ 0.99999684 -0.00250517  0.04668527],[-0.5820906],[ 0.9999893  -0.00463052 -0.04250721]
[ 0.9999893  -0.00463052 -0.04250721],[0.605289],[ 0.99999714 -0.00238987  0.04481326]
[ 0.99999714 -0.00238987  0.04481326],[-0.56670153],[ 0.9999899  -0.00448907 -0.04198438]
[ 0.9999899  -0.00448907 -0.04198438],[0.59181356],[ 0.9999973  -0.00231805  0.04342085]
[ 0.9999973  -0.00231805  0.04342085],[-0.5544095],[ 0.99999034 -0.00439199 -0.04147911]
[ 0.99999034 -0.00439199 -0.04147911],[0.5808997],[ 0.99999744 -0.00227391  0.04236186]
[ 0.99999744 -0.00227391  0.04236186],[-0.5446279],[ 0.99999064 -0.00432578 -0.04103776]
[ 0.99999064 -0.00432578 -0.04103776],[0.5723343],[ 0.9999975  -0.00224739  0.04156805]
