State,Action,NextState
[ 4.96732241 -0.10726004],1.4295754,[ 4.93639322 -0.61858379]
[ 4.93639322 -0.61858379],-1.9800739,[ 4.85405039 -1.64685672]
[ 4.85405039 -1.64685672],-1.9983519,[ 4.71959556 -2.6890966 ]
[ 4.71959556 -2.6890966 ],-1.9995815,[ 4.53264484 -3.73901434]
[ 4.53264484 -3.73901434],-1.9994462,[ 4.29380242 -4.77684837]
[ 4.29380242 -4.77684837],-1.9873518,[ 4.00579245 -5.76019941]
[ 4.00579245 -5.76019941],-1.7766838,[ 3.67593575 -6.59713397]
[ 3.67593575 -6.59713397],-1.722852,[ 3.31405982 -7.23751863]
[ 3.31405982 -7.23751863],-1.3787751,[ 2.93540757 -7.57304497]
[ 2.93540757 -7.57304497],-0.24693084,[ 2.56258062 -7.45653914]
[ 2.56258062 -7.45653914],-0.6006204,[ 2.2057689  -7.13623424]
[ 2.2057689  -7.13623424],-0.43010974,[ 1.87592217 -6.59693473]
[ 1.87592217 -6.59693473],0.22816586,[ 1.58355452 -5.84735298]
[ 1.58355452 -5.84735298],0.9704993,[ 1.33596256 -4.95183913]
[ 1.33596256 -4.95183913],-0.021284819,[ 1.12468171 -4.22561708]
[ 1.12468171 -4.22561708],0.053928137,[ 0.9476352  -3.54093013]
[ 0.9476352  -3.54093013],-1.3436096,[ 0.79096304 -3.13344331]
[ 0.79096304 -3.13344331],-1.5565495,[ 0.6492804  -2.83365266]
[ 0.6492804  -2.83365266],-0.8204391,[ 0.52411748 -2.50325849]
[ 0.52411748 -2.50325849],-0.015118599,[ 0.41760801 -2.13018942]
[ 0.41760801 -2.13018942],0.54154325,[ 0.33036918 -1.74477654]
[ 0.33036918 -1.74477654],0.6032734,[ 0.25981962 -1.41099133]
[ 0.25981962 -1.41099133],0.21756697,[ 0.20053578 -1.18567662]
[ 0.20053578 -1.18567662],0.23901772,[ 0.15051438 -1.00042815]
[ 0.15051438 -1.00042815],0.31251717,[ 0.10845985 -0.84109054]
[ 0.10845985 -0.84109054],0.39957905,[ 0.07346144 -0.69996819]
[ 0.07346144 -0.69996819],0.4396441,[ 0.04451269 -0.57897503]
[ 0.04451269 -0.57897503],0.44768405,[ 0.02059024 -0.47844893]
[ 0.02059024 -0.47844893],0.47874117,[ 0.00103043 -0.39119617]
[ 0.00103043 -0.39119617],0.48887634,[-0.01482416 -0.31709189]
[-0.01482416 -0.31709189],0.50612426,[-0.02743871 -0.25229097]
[-0.02743871 -0.25229097],0.52170825,[-0.03716927 -0.19461118]
[-0.03716927 -0.19461118],0.53704023,[-0.04426555 -0.14192568]
[-0.04426555 -0.14192568],0.54729605,[-0.04891653 -0.09301959]
[-0.04891653 -0.09301959],0.5508194,[-0.05127    -0.04706945]
[-3.03641972  0.4740157 ],2.0,[-3.00165565  0.69528134]
[-3.00165565  0.69528134],2.0,[-2.95712211  0.89067079]
[-2.95712211  0.89067079],2.0,[-2.90446705  1.05310122]
[-2.90446705  1.05310122],2.0,[-2.8456211  1.176919 ]
[-2.8456211  1.176919 ],2.0,[-2.78271275  1.25816702]
[-2.78271275  1.25816702],2.0,[-2.71797536  1.29474773]
[-2.71797536  1.29474773],2.0,[-2.65365275  1.28645222]
[-2.65365275  1.28645222],2.0,[-2.59191041  1.23484682]
[-2.59191041  1.23484682],2.0,[-2.53475868  1.14303459]
[-2.53475868  1.14303459],2.0,[-2.48399206  1.01533241]
[-2.48399206  1.01533241],1.9999995,[-2.44114618  0.85691766]
[-2.44114618  0.85691766],1.9634562,[-2.40774534  0.66801675]
[-2.40774534  0.66801675],-1.9933566,[-2.41440961 -0.13328545]
[-2.41440961 -0.13328545],-2.0,[-2.46100268 -0.93186135]
[-2.46100268 -0.93186135],-2.0,[-2.54619268 -1.70380009]
[-2.54619268 -1.70380009],-2.0,[-2.66741419 -2.42443005]
[-2.66741419 -2.42443005],-2.0,[-2.82075848 -3.06688583]
[-2.82075848 -3.06688583],-2.0,[-3.00092871 -3.60340454]
[-3.00092871 -3.60340454],-2.0,[-3.20135645 -4.00855495]
[-3.20135645 -4.00855495],-1.9999996,[-3.41454439 -4.26375872]
[-3.41454439 -4.26375872],-1.9999971,[-3.63262324 -4.36157699]
[-3.63262324 -4.36157699],-1.9999956,[-3.84801949 -4.30792511]
[-3.84801949 -4.30792511],-1.999998,[-4.05407374 -4.12108491]
[-4.05407374 -4.12108491],-1.9999989,[-4.24546457 -3.8278167 ]
[-4.24546457 -3.8278167 ],-1.9999998,[-4.41836952 -3.45809894]
[-4.41836952 -3.45809894],-1.9999987,[-4.5703837  -3.04028367]
[-4.5703837  -3.04028367],-1.9996815,[-4.70027297 -2.59778525]
[-4.70027297 -2.59778525],1.8029482,[-4.77914287 -1.57739807]
[-4.77914287 -1.57739807],2.0,[-4.80559629 -0.52906848]
[-4.80559629 -0.52906848],2.0,[-4.77971249  0.51767603]
[-4.77971249  0.51767603],2.0,[-4.70141364  1.565977  ]
[-4.70141364  1.565977  ],2.0,[-4.57061705  2.61593183]
[-4.57061705  2.61593183],2.0,[-4.38769669  3.65840721]
[-4.38769669  3.65840721],2.0,[-4.15423575  4.66921892]
[-4.15423575  4.66921892],2.0,[-3.873966   5.6053949]
[-3.873966   5.6053949],2.0,[-3.55362239  6.40687213]
[-3.55362239  6.40687213],2.0,[-3.20326116  7.00722465]
[-3.20326116  7.00722465],2.0,[-2.83558883  7.35344672]
[-2.83558883  7.35344672],1.9999998,[-2.46421339  7.42750879]
[-2.46421339  7.42750879],-1.9968944,[-2.13131789  6.65790985]
[-2.13131789  6.65790985],-1.9997647,[-1.84518231  5.72271168]
[-1.84518231  5.72271168],-1.5845414,[-1.60702798  4.76308665]
[-1.60702798  4.76308665],1.9510746,[-1.39171597  4.30624007]
[-1.39171597  4.30624007],1.6354775,[-1.20103819  3.81355576]
[-1.20103819  3.81355576],0.5280061,[-1.04136591  3.19344558]
[-1.04136591  3.19344558],1.4635816,[-0.90308282  2.76566166]
[-0.90308282  2.76566166],0.7230747,[-0.78882316  2.28519324]
[-0.78882316  2.28519324],1.3169222,[-0.69129375  1.95058822]
[-0.69129375  1.95058822],1.0055423,[-0.61013031  1.62326872]
[-0.61013031  1.62326872],1.6262779,[-0.53825633  1.43747971]
[-0.53825633  1.43747971],1.3035135,[-0.47582998  1.24852701]
[-0.47582998  1.24852701],1.3614054,[-0.42037095  1.10918052]
[-0.42037095  1.10918052],0.99560785,[-0.37274858  0.95244735]
[-0.37274858  0.95244735],1.0157945,[-0.33116438  0.83168405]
[-0.33116438  0.83168405],0.9068079,[-0.29497203  0.72384696]
[-0.29497203  0.72384696],0.7295656,[-0.26420968  0.61524698]
